Species,Type,Team,Weight (lbs),Length (in),Girth (in),Points,Time of Catch
Sailfish,Catch & Release,Vamonos (58' Viking),0,0,0,100,"05:29 PM, Jul 17th 2025"
Sailfish,Catch & Release,The Edge,0,0,0,100,"08:45 AM, Jul 19th 2025"
Wahoo,Meatfish,Deez Nautz,13.0,41.75,1,13,"04:17 PM, Jul 19th 2025"
Sailfish,Catch & Release,Backlash,0,0,0,100,"06:52 PM, Jul 17th 2025"
Dorado,Meatfish,Miss Catherine,12.5,34.5,1,12,"03:42 PM, Jul 19th 2025"
Dorado,Meatfish,Double E,13.5,35,1,13,"04:35 PM, Jul 19th 2025"
Blue Marlin,Catch & Release,Reelity Check,0,0,0,300,"02:04 PM, Jul 18th 2025"
Sailfish,Catch & Release,Vamanos (63'),0,0,0,100,"06:28 PM, Jul 17th 2025"
Dorado,Meatfish,Tipsea,7.5,28.75,1,7,"01:50 PM, Jul 19th 2025"
Sailfish,Catch & Release,Unstable,0,0,0,100,"08:05 AM, Jul 18th 2025"
Sailfish,Catch & Release,El Patron,0,0,0,100,"02:21 PM, Jul 18th 2025"
Sailfish,Catch & Release,Poured Out,0,0,0,100,"03:26 PM, Jul 18th 2025"
White Marlin,Catch & Release,Unstable,0,0,0,150,"07:26 AM, Jul 18th 2025"
Sailfish,Catch & Release,Reelity Check,0,0,0,100,"07:24 AM, Jul 18th 2025"
Sailfish,Catch & Release,Instigator,0,0,0,100,"12:48 PM, Jul 19th 2025"
Sailfish,Catch & Release,El Patron,0,0,0,100,"08:26 PM, Jul 18th 2025"
Sailfish,Catch & Release,Desperado,0,0,0,100,"02:59 PM, Jul 17th 2025"
Dorado,Meatfish,A Team,5.0,26,1,5,"03:36 PM, Jul 19th 2025"
Dorado,Meatfish,Big Trouble,27.5,45.25,1,27,"03:55 PM, Jul 19th 2025"
White Marlin,Catch & Release,The Edge,0,0,0,150,"04:58 PM, Jul 18th 2025"
Sailfish,Catch & Release,El Patron,0,0,0,100,"07:18 PM, Jul 18th 2025"
Sailfish,Catch & Release,Trophy Club,0,0,0,100,"07:45 AM, Jul 19th 2025"
Sailfish,Catch & Release,Low Bid,0,0,0,100,"04:36 PM, Jul 18th 2025"
White Marlin,Catch & Release,Poured Out,0,0,0,150,"09:48 AM, Jul 18th 2025"
White Marlin,Catch & Release,El Patron,0,0,0,150,"07:24 AM, Jul 19th 2025"
